"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"24.04.2020","6,9742","6,9395","6,9970","6,9395","0,40%"
"23.04.2020","6,9462","6,9797","7,0005","6,9226","-0,47%"
"22.04.2020","6,9787","6,9812","7,0097","6,9516","-0,04%"
"21.04.2020","6,9812","6,9394","7,0008","6,9346","0,59%"
"20.04.2020","6,9402","6,9314","6,9575","6,8714","0,12%"
"17.04.2020","6,9317","6,9397","6,9584","6,8253","-0,11%"
"16.04.2020","6,9397","6,9118","6,9605","6,8860","0,40%"
"15.04.2020","6,9118","6,8153","6,9283","6,8127","1,41%"
"14.04.2020","6,8155","6,7723","6,8256","6,7603","0,64%"
"13.04.2020","6,7721","6,7033","6,8018","6,7009","1,07%"
"10.04.2020","6,7001","6,6746","6,7298","6,6590","0,38%"
"09.04.2020","6,6746","6,7737","6,7979","6,6164","-1,46%"
"08.04.2020","6,7737","6,7550","6,7968","6,7512","0,29%"
"07.04.2020","6,7540","6,7801","6,7895","6,6927","-0,41%"
"06.04.2020","6,7815","6,7291","6,7951","6,7075","0,75%"
"03.04.2020","6,7310","6,6137","6,7517","6,6083","1,75%"
"02.04.2020","6,6153","6,7024","6,7205","6,5891","-1,31%"
"01.04.2020","6,7030","6,6149","6,7140","6,6087","1,34%"
"31.03.2020","6,6143","6,5764","6,6272","6,5490","0,56%"
"30.03.2020","6,5773","6,4549","6,5974","6,4433","1,89%"
"27.03.2020","6,4550","6,3982","6,4764","6,3885","0,89%"
"26.03.2020","6,3979","6,4169","6,5117","6,3793","-0,30%"
"25.03.2020","6,4170","6,4205","6,4773","6,3773","-0,05%"
